Area,Address,Price,Bedrooms,Bathrooms,Sqft
"Austin, TX","1904 E 16th St #2, Austin, TX 78702","$515,000 ",1,1,361
"Austin, TX","701 Clear Stream Xing, Austin, TX 78753","$709,000 ",4,4,"2,794"
"Austin, TX","603 E 47th St, Austin, TX 78751","$1,975,000 ",4,4,"2,813"
"Austin, TX","1717 Rockbridge Ter, Austin, TX 78741","$429,999 ",3,1,"1,069"
"Austin, TX","6608 E Hill Dr, Austin, TX 78731","$549,000 ",3,3,"1,780"
"Austin, TX","7403 Mifflin Kenedy Ter, Austin, TX 78749","$625,000 ",3,3,"2,014"
"Austin, TX","16413 Along Creek Cv, Austin, TX 78717","$950,000 ",5,4,"3,744"
"Austin, TX","9503 Oriole Dr, Austin, TX 78753","$395,000 ",3,2,988
"Austin, TX","10504 Silktail Cv, Austin, TX 78730","$879,000 ",4,2,"3,011"
"Austin, TX","7804 Turquoise Trl, Austin, TX 78749","$395,000 ",3,2,"1,452"
"Austin, TX","9204 Heatherwood Dr, Austin, TX 78748","$799,500 ",5,3,"2,789"
"Austin, TX","1401 N Weston Ln, Austin, TX 78733","$9,995,000 ",4,6,"5,593"
"Austin, TX","7825 Beauregard Cir APT 7, Austin, TX 78745","$450,000 ",4,6,"2,186"
"Austin, TX","1101 Shoal Creek Blvd APT 20, Austin, TX 78701","$380,000 ",2,1,826
"Austin, TX","2413 N Cuernavaca Dr, Austin, TX 78733","$845,000 ",3,2,"2,054"
"Austin, TX","6403 Chimney Creek Cir #A, Austin, TX 78723","$304,900 ",3,3,"1,239"
"Austin, TX","4306 Mount Vernon Dr, Austin, TX 78745","$549,900 ",3,2,"1,572"
"Austin, TX","7728 Marble Crest Dr, Austin, TX 78747","$450,000 ",4,3,"2,912"
"Austin, TX","7300 Roaring Springs Dr, Austin, TX 78736","$1,100,000 ",4,4,"3,973"
"Austin, TX","4511 Island Cv, Austin, TX 78731","$7,475,000 ",5,6,"7,755"
"Austin, TX","11412 Sweet Basil Ct, Austin, TX 78726","$619,000 ",3,2,"2,111"
"Austin, TX","1801 Palma Plz, Austin, TX 78703","$2,249,000 ",4,3,"2,768"
"Austin, TX","2707 Wooldridge Dr, Austin, TX 78703","$5,600,000 ",5,6,"4,632"
"Austin, TX","14024 Tyburn Trl, Austin, TX 78717","$792,000 ",4,4,"3,275"
"Austin, TX","10656 Bramblecrest Dr, Austin, TX 78726","$849,500 ",5,5,"3,518"
"Austin, TX","209 Powell Ln E, Austin, TX 78753","$99,000 ",,,
"Austin, TX","200 Brandon Way, Austin, TX 78733","$4,800,000 ",5,7,"7,770"
"Austin, TX","6203 Turtle Dove Dr, Austin, TX 78744","$289,900 ",3,2,"1,282"
"Austin, TX","4814 Avenue G, Austin, TX 78751","$695,000 ",3,3,"1,544"
"Austin, TX","7203 Wink Way, Austin, TX 78744","$571,199 ",5,4,"3,475"
"Austin, TX","1601 Ridgehaven Dr, Austin, TX 78723","$445,000 ",3,2,"1,300"
"Austin, TX","14900 Copper Ridge Ln, Austin, TX 78734","$2,049,000 ",5,5,"5,270"
"Austin, TX","1135 Barton Hills Dr APT 114, Austin, TX 78704","$525,000 ",2,2,"1,204"
"Austin, TX","9900 Chukar Bnd, Austin, TX 78758","$325,000 ",4,2,"1,594"
"Austin, TX","7855 Escala Dr, Austin, TX 78735","$9,999,000 ",5,7,"10,396"
"Austin, TX","12700 La Salle Dr, Austin, TX 78727","$399,000 ",3,2,"1,326"
"Austin, TX","12005 Mossbrook Cv, Austin, TX 78750","$825,000 ",4,3,"2,400"
"Austin, TX","12014 Bobcat Trl, Austin, TX 78750","$600,000 ",4,3,"1,840"
"Austin, TX","8623 Putnam Dr APT B, Austin, TX 78757","$255,000 ",2,2,"1,001"
"Austin, TX","11961 Overlook Pass, Austin, TX 78738","$4,750,000 ",,,
"Austin, TX","1804 Capital Pkwy APT 25, Austin, TX 78746","$435,000 ",2,2,"1,220"
"Austin, TX","913 Duncan Ln #103, Austin, TX 78705","$345,000 ",1,1,701
"Austin, TX","8509 Bluegrass Dr, Austin, TX 78759","$600,000 ",,,
"Austin, TX","9201 Brodie Ln UNIT 101, Austin, TX 78748","$290,000 ",2,2,"1,089"
"Austin, TX","7701 Rialto Blvd APT 1337, Austin, TX 78735","$350,000 ",3,2,"1,342"
"Austin, TX","310 Riva Ridge Pl, Austin, TX 78737","$1,349,000 ",3,4,"3,179"
"Austin, TX","4815 Misty Slope Ln, Austin, TX 78744","$255,000 ",2,2,"1,226"
"Austin, TX","1300 Broadmoor Dr, Austin, TX 78723","$599,900 ",3,2,"1,079"
"Austin, TX","4811 Gray Fox Dr, Austin, TX 78759","$499,990 ",4,2,"1,812"
"Austin, TX","2705-2705 1/2 Stratford Dr, Austin, TX 78746","$6,350,000 ",5,5,"4,776"
"Austin, TX","5926 Fairlane Dr, Austin, TX 78757","$2,650,000 ",5,4,"3,563"
"Austin, TX","9104 Country Canyon Cv, Austin, TX 78759","$799,999 ",3,3,"2,324"
"Austin, TX","6003 Mojave Dr, Austin, TX 78745","$1,490,000 ",4,4,"3,050"
"Austin, TX","1517 Geoffs Dr, Austin, TX 78748","$375,000 ",4,2,"1,680"
"Austin, TX","2904 Dancy St, Austin, TX 78722","$1,150,000 ",3,3,"2,045"
"Austin, TX","4709 Trail Crest Cir, Austin, TX 78735","$975,000 ",3,2,"2,111"
"Austin, TX","1303 Canyon Edge Dr, Austin, TX 78733","$1,500,000 ",4,4,"3,411"
"Austin, TX","1625 Forest Trl, Austin, TX 78703","$1,575,000 ",3,2,"1,878"
"Austin, TX","10920 Pilgrimage Dr, Austin, TX 78754","$385,000 ",3,3,"1,591"
"Austin, TX","5933 Lux St, Austin, TX 78721","$649,999 ",3,2,"1,592"
"Austin, TX","3904 Dry Creek Dr, Austin, TX 78731","$799,000 ",3,2,"1,973"
"Austin, TX","41 Waller St APT 107, Austin, TX 78702","$475,000 ",2,1,936
"Austin, TX","200 Congress Ave UNIT 50T, Austin, TX 78701","$13,000,000 ",3,5,"5,050"
"Austin, TX","7927 Mesa Trails Cir, Austin, TX 78731","$750,000 ",3,2,"2,237"
"Austin, TX","2948 Eckert St, Austin, TX 78722","$399,000 ",2,1,853
"Austin, TX","Taft Plan, Sunfield","$310,990+",3,2,"1,517"
"Austin, TX","7813 Mullen Dr #A, Austin, TX 78757","$815,000 ",3,3,"2,039"
"Austin, TX","2407 Shiloh Dr, Austin, TX 78745","$715,000 ",3,3,"1,693"
"Austin, TX","1802 New York Ave #2, Austin, TX 78702","$1,075,000 ",3,3,"1,494"
"Austin, TX","2101 Lamplight Village Cir, Austin, TX 78727","$550,000 ",6,6,"2,400"
"Austin, TX","12100 W Cow Path, Austin, TX 78727","$2,200,000 ",5,5,"4,273"
"Austin, TX","1508 Sirius Cv, Austin, TX 78732","$1,090,000 ",5,4,"3,682"
"Austin, TX","10502 Foundation Rd, Austin, TX 78726","$749,900 ",5,4,"3,194"
"Austin, TX","10429 Steamboat Dr, Austin, TX 78749","$750,000 ",4,3,"3,344"
"Austin, TX","5504 Lipan Apache Bnd, Austin, TX 78738","$899,990 ",5,5,"4,302"
"Austin, TX","1401 Anhalt Dr #44B, Pflugerville, TX 78660","$300,000 ",2,2,"1,310"
"Austin, TX","1015 E Yager Ln UNIT 204, Austin, TX 78753","$269,999 ",2,2,"1,004"
"Austin, TX","11705 Day Camp Ln, Austin, TX 78754","$376,500 ",3,2,"1,766"
"Austin, TX","4423 Jester Dr, Austin, TX 78745","$2,059,000 ",5,5,"3,543"
"Austin, TX","1809 Chestnut Ave #1, Austin, TX 78702","$649,900 ",3,3,"1,752"
"Austin, TX","2205 E Stassney Ln, Austin, TX 78744","$495,000 ",4,5,"2,016"
"Austin, TX","755 E Oltorf St APT 101, Austin, TX 78704","$376,800 ",3,2,"1,280"
"Austin, TX","4704 Running Deer Dr, Austin, TX 78759","$449,900 ",3,2,"1,837"
"Austin, TX","4809 Copperbend Blvd, Austin, TX 78744","$395,000 ",4,3,"1,419"
"Austin, TX","2715 Jorwoods Dr, Austin, TX 78745","$799,000 ",4,3,"2,231"
"Austin, TX","204 Bella Vista Cv, Austin, TX 78734","$4,980,000 ",6,8,"7,837"
"Austin, TX","3908 Island Knoll Dr, Austin, TX 78746","$5,995,000 ",4,6,"4,990"
"Austin, TX","11901-11901Q Swearingen Dr #89-Q, Austin, TX 78758","$235,000 ",2,2,829
"Austin, TX","5707 Purple Sage Dr, Austin, TX 78724","$349,000 ",4,2,"1,508"
"Austin, TX","1904 Forestglade Dr, Austin, TX 78745","$599,000 ",3,2,"1,242"
"Austin, TX","13021 Dessau Rd LOT 151, Austin, TX 78754","$69,000 ",3,2,"1,216"
"Austin, TX","2624 Deerfoot Trl, Austin, TX 78704","$5,300,000 ",4,4,"4,313"
"Austin, TX","9417 Hunter Ln, Austin, TX 78748","$493,000 ",3,3,"1,668"
"Austin, TX","400 Hummingbird Ln #B, Austin, TX 78734","$564,900 ",4,4,"2,524"
"Austin, TX","4402 Garnett St, Austin, TX 78745","$460,000 ",3,2,"1,275"
"Austin, TX","701 Oakland Ave UNIT A, Austin, TX 78703","$999,000 ",2,3,"1,397"
"Austin, TX","6428 Magenta Ln, Austin, TX 78739","$1,084,900 ",4,5,"3,672"
"Austin, TX","2801 Ashdale Dr, Austin, TX 78757","$520,000 ",3,2,"1,318"
"Austin, TX","3402 Blumie St, Austin, TX 78745","$699,000 ",4,2,"3,000"
"Austin, TX","7805 Varcella Trl, Austin, TX 78729","$499,950 ",4,3,"2,182"
"Austin, TX","44 East Ave #1803, Austin, TX 78701","$650,000 ",1,1,618
"Austin, TX","4614 Trail Crest Cir, Austin, TX 78735","$725,000 ",3,2,"2,070"
"Austin, TX","1605 Pepperbark Ln #126, Austin, TX 78748","$459,900 ",3,3,"1,909"
"Austin, TX","11808 Copperstone Ave #139, Austin, TX 78748","$430,000 ",4,2,"1,686"
"Austin, TX","1512 Dexter St, Austin, TX 78704","$2,695,000 ",4,4,"2,340"
"Austin, TX","44 East Ave #4502, Austin, TX 78701","$9,900,000 ",3,4,"5,037"
"Austin, TX","12803 Michelangelo St #1102, Austin, TX 78729","$389,000 ",3,3,"1,945"
"Austin, TX","2008 Peoples St, Austin, TX 78702","$400,000 ",3,1,973
"Austin, TX","10501 Turnbull Loop UNIT 14, Austin, TX 78717","$509,999 ",3,3,"1,977"
"Austin, TX","11210 Long Branch Dr, Austin, TX 78736","$929,900 ",3,2,"1,839"
"Austin, TX","3300 Desert Willow Cv, Austin, TX 78735","$2,650,000 ",4,4,"4,444"
"Austin, TX","2306 Fortune Dr, Austin, TX 78704","$4,950,000 ",6,7,"5,716"
"Austin, TX","1424 Elbe St, Pflugerville, TX 78660","$425,000 ",4,3,"2,355"
"Austin, TX","6004 Cooing Ct, Austin, TX 78744","$300,000 ",3,1,"1,244"
"Austin, TX","5612 Silver Screen Dr, Austin, TX 78747","$319,000 ",3,3,"1,820"
"Austin, TX","9248 Sandstone St, Austin, TX 78737","$2,490,000 ",5,5,"3,903"
"Austin, TX","905 Park Village Cv, Austin, TX 78758","$295,000 ",3,2,"1,237"
"Austin, TX","6613 Candle Ridge Cv, Austin, TX 78731","$995,000 ",4,4,"2,823"
"Austin, TX","14511 Cottingham Dr, Austin, TX 78725","$350,000 ",3,2,"1,737"
"Austin, TX","907 Speer Ln, Austin, TX 78745","$485,000 ",3,2,"1,526"
"Austin, TX","311 E 54th St, Austin, TX 78751","$699,000 ",2,3,939
"Austin, TX","5833 Kleberg Trl, Austin, TX 78747","$312,500 ",3,2,"1,290"
"Austin, TX","7206 Bertram Ct, Austin, TX 78741","$480,000 ",3,3,"1,606"
"Austin, TX","5405 Emerald Forest Dr, Austin, TX 78745","$675,000 ",3,2,"1,719"
"Austin, TX","1910 Robbins Pl APT 301, Austin, TX 78705","$355,000 ",2,2,"1,230"
"Austin, TX","906 Capitol Ct #A, Austin, TX 78756","$375,000 ",1,1,540
"Austin, TX","2036 Wimberly Ln, Austin, TX 78735","$1,195,000 ",2,3,"2,850"
"Austin, TX","909 Reinli St APT 107, Austin, TX 78751","$320,000 ",3,3,"1,260"
"Austin, TX","5602 Windward Dr, Austin, TX 78723","$595,000 ",4,2,"2,030"
"Austin, TX","2609 Bear Springs Trl, Austin, TX 78748","$1,489,000 ",5,5,"4,886"
"Austin, TX","5800 Copse Ct #103, Austin, TX 78744","$369,000 ",4,3,"1,931"
"Austin, TX","1412 E 3rd St #A, Austin, TX 78702","$1,450,000 ",3,4,"2,328"
"Austin, TX","8004 Journeyville Dr, Austin, TX 78735","$895,000 ",4,4,"3,540"
"Austin, TX","2016 Northridge Dr, Austin, TX 78723","$649,900 ",4,2,"1,772"
"Austin, TX","4506 Wild Dunes Ct, Austin, TX 78747","$549,959 ",3,3,"2,540"
"Austin, TX","6725 Kalahari Dr, Austin, TX 78739","$1,029,000 ",4,4,"3,000"
"Austin, TX","5406 Sunshine Dr, Austin, TX 78756","$975,000 ",4,4,"2,345"
"Austin, TX","6509 Way Ln, Austin, TX 78739","$859,000 ",5,4,"2,978"
"Austin, TX","13105 Mansfield Cir, Austin, TX 78732","$1,100,000 ",3,2,"2,272"
"Austin, TX","17311 Hattie Trce, Austin, TX 78738","$695,990 ",4,3,"2,743"
"Austin, TX","2508 Lehigh Dr, Austin, TX 78723","$629,900 ",3,2,"1,865"
"Austin, TX","6013 Madrone Tree Ln, Austin, TX 78738","$3,125,000 ",5,6,"4,513"
"Austin, TX","1307 W 12th St, Austin, TX 78703","$1,100,000 ",4,3,"1,968"
